epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.07676911720444286,0.9760714285714286,0.5974630168506078,0.8607142857142858
2,0.02385868839317164,0.9929365079365079,0.010410967640179609,0.9967857142857143
3,0.02032808054179426,0.9932539682539683,0.01283780762659652,0.9975
4,0.01678282751864384,0.9948015873015873,0.01071668535437701,0.9967857142857143
5,0.015207941292060746,0.995436507936508,0.026107030852165605,0.9914285714285714
6,0.005641988213090891,0.9982142857142857,0.019469877485451953,0.995
7,0.0045729436577549055,0.998452380952381,0.00216801260207181,0.9992857142857143
8,0.004086474582242469,0.9986904761904762,0.002329022501237757,0.9992857142857143
9,0.003591022263502791,0.9988888888888889,0.0017809233072746014,0.9992857142857143
10,0.004728221614209433,0.9982539682539683,0.009831835287082608,0.9971428571428571
