dataset,num_images,accuracy,macro_precision,macro_recall,macro_f1,accuracy_drop_pp,macro_f1_drop
clean,7000,0.9992857142857143,0.9992872815832509,0.9992857142857143,0.9992856417141585,0.0,0.0
noisy,2800,0.9792857142857143,0.9797050509458657,0.9792857142857142,0.9793091471936596,2.0000000000000018,0.019976494520498878
