threshold,referred_count,referral_rate,referred_incorrect,referred_correct,error_capture_rate,correct_referral_rate,referral_error_rate,accepted_count,accepted_incorrect,accepted_accuracy
0.5,10,0.0035714285714285713,8,2,0.13793103448275862,0.0007293946024799417,0.8,2790,50,0.982078853046595
0.6,27,0.009642857142857142,19,8,0.3275862068965517,0.0029175784099197666,0.7037037037037037,2773,39,0.985935809592499
0.7,44,0.015714285714285715,25,19,0.43103448275862066,0.006929248723559446,0.5681818181818182,2756,33,0.9880261248185777
0.8,63,0.0225,31,32,0.5344827586206896,0.011670313639679067,0.49206349206349204,2737,27,0.9901351845085861
0.9,104,0.037142857142857144,42,62,0.7241379310344828,0.02261123267687819,0.40384615384615385,2696,16,0.9940652818991098
0.95,144,0.05142857142857143,45,99,0.7758620689655172,0.036105032822757115,0.3125,2656,13,0.995105421686747
0.97,175,0.0625,49,126,0.8448275862068966,0.045951859956236324,0.28,2625,9,0.9965714285714286
0.99,264,0.09428571428571429,49,215,0.8448275862068966,0.07840991976659373,0.1856060606060606,2536,9,0.9964511041009464
